Commodity_Code,Commodity_Description,Country_Code,Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
577400,"Almonds, Shelled Basis",AG,Algeria,2007,2014,10,57,Imports,21,(MT),2800.0
577400,"Almonds, Shelled Basis",AG,Algeria,2007,2014,10,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2007,2014,10,178,Total Distribution,21,(MT),2800.0
577400,"Almonds, Shelled Basis",AG,Algeria,2007,2014,10,86,Total Supply,21,(MT),2800.0
577400,"Almonds, Shelled Basis",AG,Algeria,2008,2014,10,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2008,2014,10,125,Domestic Consumption,21,(MT),7600.0
577400,"Almonds, Shelled Basis",AG,Algeria,2008,2014,10,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2008,2014,10,88,Exports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2008,2014,10,57,Imports,21,(MT),7600.0
577400,"Almonds, Shelled Basis",AG,Algeria,2008,2014,10,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2008,2014,10,178,Total Distribution,21,(MT),7600.0
577400,"Almonds, Shelled Basis",AG,Algeria,2008,2014,10,86,Total Supply,21,(MT),7600.0
577400,"Almonds, Shelled Basis",AG,Algeria,2009,2014,10,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2009,2014,10,125,Domestic Consumption,21,(MT),3800.0
577400,"Almonds, Shelled Basis",AG,Algeria,2009,2014,10,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2009,2014,10,88,Exports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2009,2014,10,57,Imports,21,(MT),3800.0
577400,"Almonds, Shelled Basis",AG,Algeria,2009,2014,10,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2009,2014,10,178,Total Distribution,21,(MT),3800.0
577400,"Almonds, Shelled Basis",AG,Algeria,2009,2014,10,86,Total Supply,21,(MT),3800.0
577400,"Almonds, Shelled Basis",AG,Algeria,2010,2014,10,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2010,2014,10,125,Domestic Consumption,21,(MT),6600.0
577400,"Almonds, Shelled Basis",AG,Algeria,2010,2014,10,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2010,2014,10,88,Exports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2010,2014,10,57,Imports,21,(MT),6600.0
577400,"Almonds, Shelled Basis",AG,Algeria,2010,2014,10,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2010,2014,10,178,Total Distribution,21,(MT),6600.0
577400,"Almonds, Shelled Basis",AG,Algeria,2010,2014,10,86,Total Supply,21,(MT),6600.0
577400,"Almonds, Shelled Basis",AG,Algeria,2011,2014,10,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2011,2014,10,125,Domestic Consumption,21,(MT),7500.0
577400,"Almonds, Shelled Basis",AG,Algeria,2011,2014,10,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2011,2014,10,88,Exports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2011,2014,10,57,Imports,21,(MT),7500.0
577400,"Almonds, Shelled Basis",AG,Algeria,2011,2014,10,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2011,2014,10,178,Total Distribution,21,(MT),7500.0
577400,"Almonds, Shelled Basis",AG,Algeria,2011,2014,10,86,Total Supply,21,(MT),7500.0
577400,"Almonds, Shelled Basis",AG,Algeria,2012,2014,10,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2012,2014,10,125,Domestic Consumption,21,(MT),6700.0
577400,"Almonds, Shelled Basis",AG,Algeria,2012,2014,10,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2012,2014,10,88,Exports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2012,2014,10,57,Imports,21,(MT),6700.0
577400,"Almonds, Shelled Basis",AG,Algeria,2012,2014,10,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2012,2014,10,178,Total Distribution,21,(MT),6700.0
577400,"Almonds, Shelled Basis",AG,Algeria,2012,2014,10,86,Total Supply,21,(MT),6700.0
577400,"Almonds, Shelled Basis",AG,Algeria,2013,2014,10,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2013,2014,10,125,Domestic Consumption,21,(MT),4300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2013,2014,10,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2013,2014,10,88,Exports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2013,2014,10,57,Imports,21,(MT),4300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2013,2014,10,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2013,2014,10,178,Total Distribution,21,(MT),4300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2013,2014,10,86,Total Supply,21,(MT),4300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2014,2016,8,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2014,2016,8,125,Domestic Consumption,21,(MT),2800.0
577400,"Almonds, Shelled Basis",AG,Algeria,2014,2016,8,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2014,2016,8,88,Exports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2014,2016,8,57,Imports,21,(MT),2800.0
577400,"Almonds, Shelled Basis",AG,Algeria,2014,2016,8,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2014,2016,8,178,Total Distribution,21,(MT),2800.0
577400,"Almonds, Shelled Basis",AG,Algeria,2014,2016,8,86,Total Supply,21,(MT),2800.0
577400,"Almonds, Shelled Basis",AG,Algeria,2015,2016,10,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2015,2016,10,125,Domestic Consumption,21,(MT),4300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2015,2016,10,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2015,2016,10,88,Exports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2015,2016,10,57,Imports,21,(MT),4300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2015,2016,10,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2015,2016,10,178,Total Distribution,21,(MT),4300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2015,2016,10,86,Total Supply,21,(MT),4300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2016,2018,10,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2016,2018,10,125,Domestic Consumption,21,(MT),5900.0
577400,"Almonds, Shelled Basis",AG,Algeria,2016,2018,10,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2016,2018,10,88,Exports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2016,2018,10,57,Imports,21,(MT),5900.0
577400,"Almonds, Shelled Basis",AG,Algeria,2016,2018,10,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2016,2018,10,178,Total Distribution,21,(MT),5900.0
577400,"Almonds, Shelled Basis",AG,Algeria,2016,2018,10,86,Total Supply,21,(MT),5900.0
577400,"Almonds, Shelled Basis",AG,Algeria,2017,2019,10,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2017,2019,10,125,Domestic Consumption,21,(MT),3300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2017,2019,10,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2017,2019,10,88,Exports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2017,2019,10,57,Imports,21,(MT),3300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2017,2019,10,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2017,2019,10,178,Total Distribution,21,(MT),3300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2017,2019,10,86,Total Supply,21,(MT),3300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2018,2019,10,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2018,2019,10,125,Domestic Consumption,21,(MT),3900.0
577400,"Almonds, Shelled Basis",AG,Algeria,2018,2019,10,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2018,2019,10,88,Exports,21,(MT),0.0
